Datum,Turnier,Serie,Court,Belag,Runde,BestOf,Sieger,Verlierer,SRang,VRang,S1,V1,S2,V2,S3,V3,S4,V4,S5,V5,SSaetze,VSaetze,SSpiele,VSpiele,Status,QuoteS,QuoteV
2024-01-11,ASB Classic,ATP250,Outdoor,Hard,Quarterfinals,3,Fils A.,Altmaier D.,35,57,7,6,1,0,,,,,,,1,,8,6,Retired,1.29,3.6
2024-01-12,ASB Classic,ATP250,Outdoor,Hard,Semifinals,3,Daniel T.,Shelton B.,74,16,7,5,7,6,,,,,,,2,,14,11,Completed,4.02,1.24
2024-01-12,ASB Classic,ATP250,Outdoor,Hard,Semifinals,3,Tabilo A.,Fils A.,82,35,6,2,7,5,,,,,,,2,,13,7,Completed,3.72,1.27
2024-01-13,ASB Classic,ATP250,Outdoor,Hard,The Final,3,Tabilo A.,Daniel T.,82,74,6,2,7,5,,,,,,,2,,13,7,Completed,2.03,1.77
2024-01-14,Australian Open,Grand Slam,Outdoor,Hard,1st Round,5,Arnaldi M.,Walton A.,41,174,7,6,6,2,6,4,,,,,3,,19,12,Completed,1.21,4.48
2024-01-14,Australian Open,Grand Slam,Outdoor,Hard,1st Round,5,Munar J.,Shevchenko A.,82,48,6,3,6,3,6,1,,,,,3,,18,7,Completed,3.0,1.4
2024-01-14,Australian Open,Grand Slam,Outdoor,Hard,1st Round,5,Sinner J.,Van De Zandschulp B.,4,59,6,4,7,5,6,3,,,,,3,,19,12,Completed,1.05,10.8
2024-01-14,Australian Open,Grand Slam,Outdoor,Hard,1st Round,5,Kotov P.,Rinderknech A.,65,94,7,5,6,1,6,7,6,7,6,3,3,2,31,23,Completed,1.67,2.23
2024-01-14,Australian Open,Grand Slam,Outdoor,Hard,1st Round,5,Cerundolo F.,Sweeny D.,21,257,3,6,6,3,6,4,2,6,6,2,3,2,23,21,Completed,1.35,3.22
2024-01-14,Australian Open,Grand Slam,Outdoor,Hard,1st Round,5,Marozsan F.,Cilic M.,67,,6,1,2,6,6,2,7,5,,,3,1,21,14,Completed,1.74,2.11
2024-01-14,Australian Open,Grand Slam,Outdoor,Hard,1st Round,5,Rublev A.,Seyboth Wild T.,5,77,7,5,6,4,3,6,4,6,7,6,3,2,27,27,Completed,1.02,16.12
2024-01-14,Australian Open,Grand Slam,Outdoor,Hard,1st Round,5,Machac T.,Mochizuki S.,75,136,7,5,6,1,7,5,,,,,3,,20,11,Completed,1.27,3.82
2024-01-14,Australian Open,Grand Slam,Outdoor,Hard,1st Round,5,O Connell C.,Garin C.,68,86,3,6,7,5,4,6,6,1,7,5,3,2,27,23,Completed,1.41,2.95
2024-01-14,Australian Open,Grand Slam,Outdoor,Hard,1st Round,5,De Jong J.,Cachin P.,161,74,4,6,6,2,6,3,6,4,,,3,1,22,15,Completed,1.37,3.12
2024-01-14,Australian Open,Grand Slam,Outdoor,Hard,1st Round,5,Baez S.,Wolf J.J.,29,57,3,6,6,2,6,3,3,0,,,2,1,18,11,Retired,2.38,1.58
